tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
988,32:50.7,49:18.8,3205,JC Medical Center,40.71653978,-74.04963791,3206,Hilltop,40.7311689,-74.0575736,42615,Subscriber,1977,2
2425,35:30.5,15:55.6,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42508,Customer,1996,1
2409,35:32.3,15:41.4,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42167,Customer,1996,2
254,43:48.5,48:03.3,3195,Sip Ave,40.7308971,-74.06391263,3194,McGinley Square,40.72533993,-74.06762213,42192,Subscriber,1969,0
1609,49:03.9,15:53.1,3681,Grand St,40.71517768,-74.03768331,3681,Grand St,40.71517768,-74.03768331,39992,Subscriber,1980,1
385,54:09.7,00:35.3,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.7308971,-74.06391263,42580,Subscriber,1986,1
652,01:34.3,12:27.1,3677,Glenwood Ave,40.72755147,-74.07106072,3203,Hamilton Park,40.72759597,-74.04424731,42422,Subscriber,1959,1
213,02:26.8,06:00.2,3681,Grand St,40.71517768,-74.03768331,3186,Grove St PATH,40.71958612,-74.04311746,42504,Subscriber,1992,1
289,11:21.3,16:10.4,3195,Sip Ave,40.7308971,-74.06391263,3679,Bergen Ave,40.72210379,-74.071455,42580,Subscriber,1991,2
1815,12:38.7,42:54.1,3203,Hamilton Park,40.72759597,-74.04424731,3199,Newport Pkwy,40.7287448,-74.0321082,42422,Subscriber,1959,1
1687,12:50.7,40:58.4,3276,Marin Light Rail,40.71458404,-74.04281706,3267,Morris Canal,40.71241882,-74.03852552,42231,Subscriber,1980,1
2889,19:21.0,07:30.7,3194,McGinley Square,40.72533993,-74.06762213,3194,McGinley Square,40.72533993,-74.06762213,42192,Subscriber,1995,2
698,21:03.2,32:41.3,3694,Jackson Square,40.71113,-74.0789,3678,Fairmount Ave,40.72572614,-74.07195926,42109,Subscriber,1986,2
3134,28:00.5,20:15.3,3184,Paulus Hook,40.7141454,-74.0335519,3184,Paulus Hook,40.7141454,-74.0335519,42172,Subscriber,1979,1
3313,35:20.5,30:34.1,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,42249,Customer,1992,1
3289,36:03.9,30:53.0,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,42519,Customer,1991,2
2475,36:15.1,17:30.8,3196,Riverview Park,40.7443187,-74.0439909,3196,Riverview Park,40.7443187,-74.0439909,42162,Customer,1983,1
221,36:21.4,40:03.0,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3267,Morris Canal,40.71241882,-74.03852552,42108,Subscriber,1967,1
305,36:40.0,41:45.1,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.7308971,-74.06391263,42580,Subscriber,1996,2
400,38:31.4,45:12.3,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,3187,Warren St,40.7211236,-74.03805095,42258,Subscriber,1980,1
1314,44:11.8,06:06.6,3483,Montgomery St,40.71942,-74.05099,3199,Newport Pkwy,40.7287448,-74.0321082,42327,Subscriber,1992,1
300,46:16.5,51:16.8,3186,Grove St PATH,40.71958612,-74.04311746,3203,Hamilton Park,40.72759597,-74.04424731,42488,Subscriber,1988,2
718,48:30.3,00:28.5,3199,Newport Pkwy,40.7287448,-74.0321082,3202,Newport PATH,40.7272235,-74.0337589,42422,Subscriber,1959,1
2648,49:31.7,33:40.6,3195,Sip Ave,40.7308971,-74.06391263,3791,Hoboken Ave at Monmouth St,40.73520838,-74.04696375,42580,Subscriber,1980,1
1246,49:33.1,10:20.1,3214,Essex Light Rail,40.7127742,-74.0364857,3214,Essex Light Rail,40.7127742,-74.0364857,42178,Subscriber,1988,2
241,52:13.8,56:15.0,3275,Columbus Drive,40.7183552,-74.03891444,3275,Columbus Drive,40.7183552,-74.03891444,42467,Subscriber,1986,1
233,53:15.8,57:09.4,3185,City Hall,40.7177325,-74.043845,3681,Grand St,40.71517768,-74.03768331,41498,Subscriber,1975,1
1590,53:22.5,19:52.8,3278,Monmouth and 6th,40.72568548,-74.04879034,3202,Newport PATH,40.7272235,-74.0337589,42372,Subscriber,1962,1
937,00:38.7,16:15.9,3202,Newport PATH,40.7272235,-74.0337589,3184,Paulus Hook,40.7141454,-74.0335519,42422,Subscriber,1959,1
404,08:32.5,15:17.5,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.7308971,-74.06391263,42197,Subscriber,1964,1
2048,09:11.6,43:20.2,3269,Brunswick & 6th,40.72601173,-74.05038893,3269,Brunswick & 6th,40.72601173,-74.05038893,42490,Subscriber,1970,1
248,10:04.7,14:13.0,3639,Harborside,40.7192517,-74.034234,3267,Morris Canal,40.71241882,-74.03852552,42430,Subscriber,1962,2
3982,12:16.1,18:38.8,3638,Washington St,40.7242941,-74.0354826,3638,Washington St,40.7242941,-74.0354826,42473,Customer,1986,1
3974,12:21.6,18:36.4,3638,Washington St,40.7242941,-74.0354826,3638,Washington St,40.7242941,-74.0354826,41685,Customer,1988,2
2742,14:03.9,59:46.5,3275,Columbus Drive,40.7183552,-74.03891444,3275,Columbus Drive,40.7183552,-74.03891444,42280,Customer,1991,2
1815,16:35.9,46:51.2,3184,Paulus Hook,40.7141454,-74.0335519,3677,Glenwood Ave,40.72755147,-74.07106072,42422,Subscriber,1959,1
570,20:16.7,29:46.8,3202,Newport PATH,40.7272235,-74.0337589,3278,Monmouth and 6th,40.72568548,-74.04879034,42372,Subscriber,1962,1
430,26:00.9,33:11.2,3280,Astor Place,40.7192822,-74.07126188,3195,Sip Ave,40.7308971,-74.06391263,42316,Subscriber,1969,0
292,26:55.7,31:47.8,3273,Manila & 1st,40.72165072,-74.04288411,3269,Brunswick & 6th,40.72601173,-74.05038893,42599,Subscriber,1983,1
166,32:48.1,35:34.2,3273,Manila & 1st,40.72165072,-74.04288411,3270,Jersey & 6th St,40.72528911,-74.04557168,42304,Subscriber,1960,1
295,37:56.4,42:51.7,3275,Columbus Drive,40.7183552,-74.03891444,3205,JC Medical Center,40.71653978,-74.04963791,42295,Subscriber,1989,2
126,39:11.0,41:17.6,3214,Essex Light Rail,40.7127742,-74.0364857,3276,Marin Light Rail,40.71458404,-74.04281706,42482,Subscriber,1981,1
712,39:12.1,51:04.9,3280,Astor Place,40.7192822,-74.07126188,3211,Newark Ave,40.72152515,-74.04630454,42503,Customer,1969,0
2540,41:10.4,23:31.0,3210,Pershing Field,40.74267714,-74.05178863,3210,Pershing Field,40.74267714,-74.05178863,42601,Subscriber,1975,1
688,44:03.0,55:31.9,3199,Newport Pkwy,40.7287448,-74.0321082,3205,JC Medical Center,40.71653978,-74.04963791,42552,Subscriber,1975,1
211,46:06.1,49:37.2,3184,Paulus Hook,40.7141454,-74.0335519,3267,Morris Canal,40.71241882,-74.03852552,42335,Subscriber,1958,1
1650,46:53.9,14:24.5,3209,Brunswick St,40.7241765,-74.0506564,3185,City Hall,40.7177325,-74.043845,42237,Subscriber,1991,1
1615,48:18.5,15:14.4,3194,McGinley Square,40.72533993,-74.06762213,3184,Paulus Hook,40.7141454,-74.0335519,42300,Subscriber,1977,1
1618,48:40.6,15:39.0,3195,Sip Ave,40.7308971,-74.06391263,3280,Astor Place,40.7192822,-74.07126188,42197,Subscriber,1969,0
360,50:55.4,56:56.0,3267,Morris Canal,40.71241882,-74.03852552,3639,Harborside,40.7192517,-74.034234,42430,Subscriber,1962,2
549,56:54.7,06:04.4,3195,Sip Ave,40.7308971,-74.06391263,3281,Leonard Gordon Park,40.74590997,-74.05727148,42316,Subscriber,1990,1
2239,58:37.1,35:56.8,3202,Newport PATH,40.7272235,-74.0337589,3202,Newport PATH,40.7272235,-74.0337589,42545,Subscriber,1982,1
949,01:20.5,17:10.4,3681,Grand St,40.71517768,-74.03768331,3186,Grove St PATH,40.71958612,-74.04311746,41498,Subscriber,1975,1
675,04:45.2,16:00.9,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3192,Liberty Light Rail,40.7112423,-74.0557013,42171,Subscriber,1975,1
490,08:56.0,17:06.9,3205,JC Medical Center,40.71653978,-74.04963791,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,42265,Subscriber,1987,2
1197,16:13.1,36:11.1,3184,Paulus Hook,40.7141454,-74.0335519,3194,McGinley Square,40.72533993,-74.06762213,42300,Subscriber,1977,1
97,19:32.5,21:10.3,3185,City Hall,40.7177325,-74.043845,3213,Van Vorst Park,40.71848892,-74.04772663,42132,Subscriber,1975,1
456,20:54.0,28:30.2,3202,Newport PATH,40.7272235,-74.0337589,3273,Manila & 1st,40.72165072,-74.04288411,42137,Subscriber,1989,2
1621,21:00.4,48:01.7,3199,Newport Pkwy,40.7287448,-74.0321082,3202,Newport PATH,40.7272235,-74.0337589,42314,Customer,1981,2
